Timestamp,AGE,Gender,Sleep Hours (Last Night),Sleep Quality,Wake-up Time,Breakfast,Steps Walked Today(Approx),Water Intake(Glasses),Exercise Today,Caffeine Intake,Total Screen Time (Hours Today),Social Media Usage Today,Stress Level (1-10),Mood Level Right Now(1-10),Energy Level Right Now(1-10),Work/Study Hours Today (So far),Time Spent Outside Today,Weather (Your Area Today),Completed your goal today?  
02/12/2025 15:34:38,21-23,Female,4-5 hours,2,After 9 AM,No,5000-8000,3-4,"Yes, medium (20-45 min)",2 cups,2-4 hours,2-3 hours,8,7,6,2 hours,1–2 hours,Cold,No
02/12/2025 15:34:46,18-20,Male,6-7 hours,4,6-7 AM,Yes,5000-8000,7-9,No,0 cups,2-4 hours,30-60 min,2,9,9,3 hours,2+ hours,Cold,Yes
02/12/2025 15:34:49,21-23,Female,5-6 hours,1 (Very poor),After 9 AM,No,"10,000+",0-2,No,1 cup,8+ hours,0-30 min,10,5,3,5+ hours,0–10 minutes,Hot,No
02/12/2025 15:34:58,21-23,Male,5-6 hours,5 (Excellent),5-6 AM,Yes,"10,000+",7-9,"Yes, intense (45+ min)",0 cups,4-6 hours,1-2 hours,5,5,5,3 hours,1–2 hours,Cold,Yes
02/12/2025 15:34:59,21-23,Male,6-7 hours,4,7-8 AM,Yes,"8000-10,000",5-6,No,0 cups,4-6 hours,1-2 hours,7,6,6,1 hours,0–10 minutes,Cold,Yes
02/12/2025 15:35:17,21-23,Male,6-7 hours,5 (Excellent),8-9 AM,No,0-2000,5-6,No,0 cups,8+ hours,3+ hours,1,9,10,2 hours,0–10 minutes,Cold,No
02/12/2025 15:35:26,21-23,Male,4-5 hours,5 (Excellent),After 9 AM,No,"8000-10,000",7-9,"Yes, intense (45+ min)",0 cups,8+ hours,1-2 hours,2,10,10,3 hours,10–30 minutes,Cold,Yes
02/12/2025 15:35:30,21-23,Male,5-6 hours,4,After 9 AM,Yes,2000-5000,7-9,"Yes, intense (45+ min)",1 cup,4-6 hours,1-2 hours,3,8,10,3 hours,0–10 minutes,Cold,Yes
02/12/2025 15:35:36,21-23,Male,6-7 hours,3,7-8 AM,Yes,0-2000,5-6,"Yes, light (0-20 min)",2 cups,2-4 hours,30-60 min,6,7,9,2 hours,2+ hours,Cold,Yes
02/12/2025 15:36:32,18-20,Male,5-6 hours,3,After 9 AM,No,0-2000,5-6,No,0 cups,8+ hours,1-2 hours,4,5,6,5+ hours,1–2 hours,Cold,No
02/12/2025 15:36:38,18-20,Male,7-8 hours,5 (Excellent),7-8 AM,Yes,"8000-10,000",5-6,No,0 cups,4-6 hours,1-2 hours,4,7,9,3 hours,30–60 minutes,Cold,Yes
02/12/2025 15:37:07,21-23,Male,6-7 hours,4,8-9 AM,Yes,5000-8000,3-4,No,0 cups,4-6 hours,1-2 hours,8,6,7,5+ hours,30–60 minutes,Cold,Yes
